Dates,Dates Url,Top 10 Gross,%± LW,Overall Gross,%± LW1,Releases,#1 Release,#1 Release Url,Genre,Budget,Running Time,Week,Week Url,Long Weekend,Country
Apr 11-13,https://www.boxofficemojo.com/weekend/2025W15/?area=GB&ref_=bo_wey_table_8,"$14,957,484",-46.20%,"$16,518,346",-42.90%,59,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2772271105/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=GB&ref_=bo_wey_table_8,FALSE,United Kingdom
Apr 4-6,https://www.boxofficemojo.com/weekend/2025W14/?area=GB&ref_=bo_wey_table_9,"$27,807,196",254.50%,"$28,937,483",220.40%,55,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2772271105/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=GB&ref_=bo_wey_table_9,FALSE,United Kingdom
May 15-18,https://www.boxofficemojo.com/weekend/2025W20/?area=CZ&ref_=bo_wey_table_3,"$805,868",-6.40%,"$882,998",-5.10%,19,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3376250881/?ref_=bo_wey_table_3,-,-,-,20,https://www.boxofficemojo.com/weekend/2025W20/?area=CZ&ref_=bo_wey_table_3,FALSE,Czech Replublic
May 8-11,https://www.boxofficemojo.com/weekend/2025W19/?area=CZ&ref_=bo_wey_table_4,"$860,574",-17.60%,"$930,355",-15.60%,21,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3376250881/?ref_=bo_wey_table_4,-,-,-,19,https://www.boxofficemojo.com/weekend/2025W19/?area=CZ&ref_=bo_wey_table_4,FALSE,Czech Replublic
May 1-4,https://www.boxofficemojo.com/weekend/2025W18/?area=CZ&ref_=bo_wey_table_5,"$1,044,947",-24.50%,"$1,102,876",-23%,20,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3376250881/?ref_=bo_wey_table_5,-,-,-,18,https://www.boxofficemojo.com/weekend/2025W18/?area=CZ&ref_=bo_wey_table_5,FALSE,Czech Replublic
Apr 17-20,https://www.boxofficemojo.com/weekend/2025W16/?area=CZ&ref_=bo_wey_table_7,"$1,268,635",-45.30%,"$1,294,844",-45.90%,18,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3376250881/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=CZ&ref_=bo_wey_table_7,FALSE,Czech Replublic
Apr 10-13,https://www.boxofficemojo.com/weekend/2025W15/?area=CZ&ref_=bo_wey_table_8,"$2,318,477",0.40%,"$2,392,933",-1%,21,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3376250881/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=CZ&ref_=bo_wey_table_8,FALSE,Czech Replublic
Apr 3-6,https://www.boxofficemojo.com/weekend/2025W14/?area=CZ&ref_=bo_wey_table_9,"$2,309,155",324.50%,"$2,416,592",271.70%,23,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3376250881/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=CZ&ref_=bo_wey_table_9,FALSE,Czech Replublic
Apr 16-20,https://www.boxofficemojo.com/weekend/2025W16/?area=FR&ref_=bo_wey_table_7,"$12,026,835",-2.70%,"$14,955,614",-4.50%,40,A Minecraft Movie,https://www.boxofficemojo.com/release/rl4231888897/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=FR&ref_=bo_wey_table_7,FALSE,France
Apr 9-13,https://www.boxofficemojo.com/weekend/2025W15/?area=FR&ref_=bo_wey_table_8,"$12,358,326",12.20%,"$15,658,115",11.10%,39,A Minecraft Movie,https://www.boxofficemojo.com/release/rl4231888897/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=FR&ref_=bo_wey_table_8,FALSE,France
Apr 2-6,https://www.boxofficemojo.com/weekend/2025W14/?area=FR&ref_=bo_wey_table_9,"$11,015,270",26.20%,"$14,092,588",22.90%,42,A Minecraft Movie,https://www.boxofficemojo.com/release/rl4231888897/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=FR&ref_=bo_wey_table_9,FALSE,France
Apr 18-20,https://www.boxofficemojo.com/weekend/2025W16/?area=ZA&ref_=bo_wey_table_7,"$407,946",18.80%,"$416,617",16.20%,14,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3762126849/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=ZA&ref_=bo_wey_table_7,FALSE,South Africa
Apr 11-13,https://www.boxofficemojo.com/weekend/2025W15/?area=ZA&ref_=bo_wey_table_8,"$343,311",-54.60%,"$358,430",-55.60%,19,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3762126849/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=ZA&ref_=bo_wey_table_8,FALSE,South Africa
Apr 4-6,https://www.boxofficemojo.com/weekend/2025W14/?area=ZA&ref_=bo_wey_table_9,"$756,909",167.70%,"$807,684",162.80%,25,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3762126849/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=ZA&ref_=bo_wey_table_9,FALSE,South Africa
Apr 25-27,https://www.boxofficemojo.com/weekend/2025W17/?area=ES&ref_=bo_wey_table_6,"$3,576,059",-39%,"$4,257,379",-37.40%,59,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3879501825/?ref_=bo_wey_table_6,-,-,-,17,https://www.boxofficemojo.com/weekend/2025W17/?area=ES&ref_=bo_wey_table_6,FALSE,Spain
Apr 18-20,https://www.boxofficemojo.com/weekend/2025W16/?area=ES&ref_=bo_wey_table_7,"$5,861,531",-8.10%,"$6,798,372",-3.10%,55,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3879501825/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=ES&ref_=bo_wey_table_7,FALSE,Spain
Apr 11-13,https://www.boxofficemojo.com/weekend/2025W15/?area=ES&ref_=bo_wey_table_8,"$6,378,730",-28.60%,"$7,013,266",-26.80%,56,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3879501825/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=ES&ref_=bo_wey_table_8,FALSE,Spain
Apr 4-6,https://www.boxofficemojo.com/weekend/2025W14/?area=ES&ref_=bo_wey_table_9,"$8,929,238",173.10%,"$9,577,212",149.40%,60,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3879501825/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=ES&ref_=bo_wey_table_9,FALSE,Spain
Apr 25-27,https://www.boxofficemojo.com/weekend/2025W17/?area=TR&ref_=bo_wey_table_6,"$922,126",-19.40%,"$1,082,579",-12.50%,55,A Minecraft Movie,https://www.boxofficemojo.com/release/rl1849458689/?ref_=bo_wey_table_6,-,-,-,17,https://www.boxofficemojo.com/weekend/2025W17/?area=TR&ref_=bo_wey_table_6,FALSE,Turkey
Apr 18-20,https://www.boxofficemojo.com/weekend/2025W16/?area=TR&ref_=bo_wey_table_7,"$1,143,601",-44.40%,"$1,237,190",-42.40%,44,A Minecraft Movie,https://www.boxofficemojo.com/release/rl1849458689/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=TR&ref_=bo_wey_table_7,FALSE,Turkey
Apr 11-13,https://www.boxofficemojo.com/weekend/2025W15/?area=TR&ref_=bo_wey_table_8,"$2,055,596",-25.80%,"$2,147,946",-26%,56,A Minecraft Movie,https://www.boxofficemojo.com/release/rl1849458689/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=TR&ref_=bo_wey_table_8,FALSE,Turkey
