Dates,Top 10 Gross,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Genre,Week Url,Long Weekend,Country,Formatted_Date,Month,Year,OMDB_Runtime,OMDB_Genre,OMDB_imdbID,OMDB_Budget
Apr 2-6,11015270.0,0.262,14092588.0,0.229,42,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=FR&ref_=bo_wey_table_9,False,France,2025-04-02,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 18-20,407946.0,0.188,416617.0,0.162,14,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W16/?area=ZA&ref_=bo_wey_table_7,False,South Africa,2025-04-18,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 11-13,343311.0,-0.546,358430.0,-0.556,19,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=ZA&ref_=bo_wey_table_8,False,South Africa,2025-04-11,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 4-6,756909.0,1.677,807684.0,1.628,25,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=ZA&ref_=bo_wey_table_9,False,South Africa,2025-04-04,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 25-27,3576059.0,-0.39,4257379.0,-0.374,59,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W17/?area=ES&ref_=bo_wey_table_6,False,Spain,2025-04-25,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 18-20,5861531.0,-0.081,6798372.0,-0.031,55,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W16/?area=ES&ref_=bo_wey_table_7,False,Spain,2025-04-18,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 11-13,6378730.0,-0.286,7013266.0,-0.268,56,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=ES&ref_=bo_wey_table_8,False,Spain,2025-04-11,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 4-6,8929238.0,1.731,9577212.0,1.494,60,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=ES&ref_=bo_wey_table_9,False,Spain,2025-04-04,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 25-27,922126.0,-0.194,1082579.0,-0.125,55,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W17/?area=TR&ref_=bo_wey_table_6,False,Turkey,2025-04-25,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 18-20,1143601.0,-0.444,1237190.0,-0.424,44,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W16/?area=TR&ref_=bo_wey_table_7,False,Turkey,2025-04-18,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 11-13,2055596.0,-0.258,2147946.0,-0.26,56,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=TR&ref_=bo_wey_table_8,False,Turkey,2025-04-11,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 4-6,2768558.0,3.624,2900902.0,3.58,47,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=TR&ref_=bo_wey_table_9,False,Turkey,2025-04-04,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 17-20,2579172.0,-0.39,2982160.0,-0.358,34,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W16/?area=AE&ref_=bo_wey_table_7,False,UAE,2025-04-17,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 10-13,4224744.0,-0.285,4644881.0,-0.229,33,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=AE&ref_=bo_wey_table_8,False,UAE,2025-04-10,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
May 8-11,65914.0,-0.197,74742.0,-0.135,22,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W19/?area=SI&ref_=bo_wey_table_4,False,Slovenia,2025-05-08,May,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
May 1-4,82048.0,-0.252,86451.0,-0.228,21,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W18/?area=SI&ref_=bo_wey_table_5,False,Slovenia,2025-05-01,May,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 24-27,109724.0,-0.006,111954.0,-0.015,17,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W17/?area=SI&ref_=bo_wey_table_6,False,Slovenia,2025-04-24,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 17-20,110432.0,-0.275,113629.0,-0.291,18,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W16/?area=SI&ref_=bo_wey_table_7,False,Slovenia,2025-04-17,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 10-13,152316.0,-0.304,160231.0,-0.315,23,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=SI&ref_=bo_wey_table_8,False,Slovenia,2025-04-10,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 3-6,218708.0,0.67,233999.0,0.553,25,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=SI&ref_=bo_wey_table_9,False,Slovenia,2025-04-03,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
May 8-11,289599.0,-0.125,334704.0,-0.061,21,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W19/?area=SK&ref_=bo_wey_table_4,False,Slovakia,2025-05-08,May,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 24-27,387195.0,-0.232,417595.0,-0.203,20,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W17/?area=SK&ref_=bo_wey_table_6,False,Slovakia,2025-04-24,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 17-20,504162.0,-0.381,523953.0,-0.377,20,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W16/?area=SK&ref_=bo_wey_table_7,False,Slovakia,2025-04-17,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 10-13,814023.0,-0.227,840624.0,-0.244,21,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=SK&ref_=bo_wey_table_8,False,Slovakia,2025-04-10,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 3-6,1052996.0,2.125,1111813.0,1.885,24,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=SK&ref_=bo_wey_table_9,False,Slovakia,2025-04-03,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 11-13,824083.0,-0.33,882662.0,-0.323,39,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=RO&ref_=bo_wey_table_8,False,Romania,2025-04-11,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 4-6,1229363.0,1.189,1304727.0,0.904,42,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=RO&ref_=bo_wey_table_9,False,Romania,2025-04-04,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 18-20,686872.0,-0.821,697831.0,-0.821,16,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W16/?area=PL&ref_=bo_wey_table_7,False,Poland,2025-04-18,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 11-13,3837597.0,-0.403,3892716.0,-0.408,20,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=PL&ref_=bo_wey_table_8,False,Poland,2025-04-11,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 4-6,6432567.0,4.82,6580126.0,4.398,23,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=PL&ref_=bo_wey_table_9,False,Poland,2025-04-04,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 17-20,1092682.0,19.313,1179730.0,20.932,37,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W16/?area=PT&ref_=bo_wey_table_7,False,Portugal,2025-04-17,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 3-6,1291196.0,1.51,1431013.0,1.319,42,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=PT&ref_=bo_wey_table_9,False,Portugal,2025-04-03,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Mar 28-30,282706.0,-0.033,307396.0,-0.069,22,A Working Man,"Action, Thriller",https://www.boxofficemojo.com/weekend/2025W13/?area=ZA&ref_=bo_wey_table_10,False,South Africa,2025-03-28,March,2025.0,116 min,"Action, Thriller",tt9150192,"$37,000,711"
Mar 28-30,561630.0,0.18,685220.0,0.159,41,A Working Man,"Action, Thriller",https://www.boxofficemojo.com/weekend/2025W13/?area=RO&ref_=bo_wey_table_10,False,Romania,2025-03-28,March,2025.0,116 min,"Action, Thriller",tt9150192,"$37,000,711"
Mar 27-30,514387.0,-0.316,617030.0,-0.31,39,A Working Man,"Action, Thriller",https://www.boxofficemojo.com/weekend/2025W13/?area=PT&ref_=bo_wey_table_10,False,Portugal,2025-03-27,March,2025.0,116 min,"Action, Thriller",tt9150192,"$37,000,711"
Mar 28-30,1075606.0,-0.164,1154242.0,-0.161,23,Am Duong Lo,,https://www.boxofficemojo.com/weekend/2025W13/?area=VN&ref_=bo_wey_table_9,False,Vietnam,2025-03-28,March,2025.0,N/A,N/A,tt36450244,N/A
Mar 6-9,187119.0,0.213,187650.0,0.216,11,Anora,"Comedy, Drama, Romance",https://www.boxofficemojo.com/weekend/2025W10/?area=GR&ref_=bo_wey_table_13,False,Greece,2025-03-06,March,2025.0,139 min,"Comedy, Drama, Romance",tt28607951,"$20,474,295"
