Rank,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Long Weekend,Country,Formatted_Date,Month,Year,Runtime,Genre,IMDb_ID,Budget
2309155,3.245,2416592,2.717,23,A Minecraft Movie,FALSE,Czech Replublic,03-04-2025,April,2025,101,Action,tt3566834,409163240
2309155,3.245,2416592,2.717,23,A Minecraft Movie,FALSE,Czech Replublic,03-04-2025,April,2025,101,Adventure,tt3566834,409163240
2309155,3.245,2416592,2.717,23,A Minecraft Movie,FALSE,Czech Replublic,03-04-2025,April,2025,101,Comedy,tt3566834,409163240
12026835,-0.027,14955614,-0.045,40,A Minecraft Movie,FALSE,France,16-04-2025,April,2025,101,Action,tt3566834,409163240
12026835,-0.027,14955614,-0.045,40,A Minecraft Movie,FALSE,France,16-04-2025,April,2025,101,Adventure,tt3566834,409163240
12026835,-0.027,14955614,-0.045,40,A Minecraft Movie,FALSE,France,16-04-2025,April,2025,101,Comedy,tt3566834,409163240
12358326,0.122,15658115,0.111,39,A Minecraft Movie,FALSE,France,09-04-2025,April,2025,101,Action,tt3566834,409163240
12358326,0.122,15658115,0.111,39,A Minecraft Movie,FALSE,France,09-04-2025,April,2025,101,Adventure,tt3566834,409163240
12358326,0.122,15658115,0.111,39,A Minecraft Movie,FALSE,France,09-04-2025,April,2025,101,Comedy,tt3566834,409163240
11015270,0.262,14092588,0.229,42,A Minecraft Movie,FALSE,France,02-04-2025,April,2025,101,Action,tt3566834,409163240
11015270,0.262,14092588,0.229,42,A Minecraft Movie,FALSE,France,02-04-2025,April,2025,101,Adventure,tt3566834,409163240
11015270,0.262,14092588,0.229,42,A Minecraft Movie,FALSE,France,02-04-2025,April,2025,101,Comedy,tt3566834,409163240
407946,0.188,416617,0.162,14,A Minecraft Movie,FALSE,South Africa,18-04-2025,April,2025,101,Action,tt3566834,409163240
407946,0.188,416617,0.162,14,A Minecraft Movie,FALSE,South Africa,18-04-2025,April,2025,101,Adventure,tt3566834,409163240
407946,0.188,416617,0.162,14,A Minecraft Movie,FALSE,South Africa,18-04-2025,April,2025,101,Comedy,tt3566834,409163240
343311,-0.546,358430,-0.556,19,A Minecraft Movie,FALSE,South Africa,11-04-2025,April,2025,101,Action,tt3566834,409163240
343311,-0.546,358430,-0.556,19,A Minecraft Movie,FALSE,South Africa,11-04-2025,April,2025,101,Adventure,tt3566834,409163240
343311,-0.546,358430,-0.556,19,A Minecraft Movie,FALSE,South Africa,11-04-2025,April,2025,101,Comedy,tt3566834,409163240
756909,1.677,807684,1.628,25,A Minecraft Movie,FALSE,South Africa,04-04-2025,April,2025,101,Action,tt3566834,409163240
756909,1.677,807684,1.628,25,A Minecraft Movie,FALSE,South Africa,04-04-2025,April,2025,101,Adventure,tt3566834,409163240
756909,1.677,807684,1.628,25,A Minecraft Movie,FALSE,South Africa,04-04-2025,April,2025,101,Comedy,tt3566834,409163240
3576059,-0.39,4257379,-0.374,59,A Minecraft Movie,FALSE,Spain,25-04-2025,April,2025,101,Action,tt3566834,409163240
3576059,-0.39,4257379,-0.374,59,A Minecraft Movie,FALSE,Spain,25-04-2025,April,2025,101,Adventure,tt3566834,409163240
3576059,-0.39,4257379,-0.374,59,A Minecraft Movie,FALSE,Spain,25-04-2025,April,2025,101,Comedy,tt3566834,409163240
5861531,-0.081,6798372,-0.031,55,A Minecraft Movie,FALSE,Spain,18-04-2025,April,2025,101,Action,tt3566834,409163240
5861531,-0.081,6798372,-0.031,55,A Minecraft Movie,FALSE,Spain,18-04-2025,April,2025,101,Adventure,tt3566834,409163240
5861531,-0.081,6798372,-0.031,55,A Minecraft Movie,FALSE,Spain,18-04-2025,April,2025,101,Comedy,tt3566834,409163240
6378730,-0.286,7013266,-0.268,56,A Minecraft Movie,FALSE,Spain,11-04-2025,April,2025,101,Action,tt3566834,409163240
6378730,-0.286,7013266,-0.268,56,A Minecraft Movie,FALSE,Spain,11-04-2025,April,2025,101,Adventure,tt3566834,409163240
6378730,-0.286,7013266,-0.268,56,A Minecraft Movie,FALSE,Spain,11-04-2025,April,2025,101,Comedy,tt3566834,409163240
8929238,1.731,9577212,1.494,60,A Minecraft Movie,FALSE,Spain,04-04-2025,April,2025,101,Action,tt3566834,409163240
8929238,1.731,9577212,1.494,60,A Minecraft Movie,FALSE,Spain,04-04-2025,April,2025,101,Adventure,tt3566834,409163240
8929238,1.731,9577212,1.494,60,A Minecraft Movie,FALSE,Spain,04-04-2025,April,2025,101,Comedy,tt3566834,409163240
